Entity,Code,Year,Total,Total estimated,Age 65+,Age 65+ estimated,Age 25-64,Age 25-64 estimated,Under 25 estimated,Under 25,Under 15,Under 15 estimated,Under 4,Under 4 estimated
World,OWID_WRL,1950,2493092843,,126304100,,1042159246,,,1324614904,867732396,,343353092,
World,OWID_WRL,1951,2536927039,,127874077,,1059306957,,,1349731048,887027436,,357004128,
World,OWID_WRL,1952,2584086332,,129789937,,1077187100,,,1377093884,908405828,,369808784,
World,OWID_WRL,1953,2634106246,,132153416,,1096035634,,,1405901764,931753376,,382937200,
World,OWID_WRL,1954,2685894869,,134605062,,1115476219,,,1435798628,956729584,,394915600,
World,OWID_WRL,1955,2740213784,,136880366,,1135578064,,,1467741048,983973024,,405901520,
World,OWID_WRL,1956,2795409978,,139125007,,1155761749,,,1500508948,1011888692,,415775920,
World,OWID_WRL,1957,2852618346,,141568323,,1175591988,,,1535443604,1042438600,,425253344,
World,OWID_WRL,1958,2911249658,,144363555,,1195306118,,,1571565948,1074936332,,433848472,
World,OWID_WRL,1959,2965950358,,147197383,,1214751313,,,1603988080,1103604040,,437784216,
World,OWID_WRL,1960,3015470890,,149860352,,1233928643,,,1631668376,1127544516,,436596448,
World,OWID_WRL,1961,3064869656,,152850029,,1253708611,,,1658297144,1148386820,,434964720,
World,OWID_WRL,1962,3123374299,,156395576,,1274900546,,,1692063800,1173295688,,438972640,
World,OWID_WRL,1963,3192807820,,160302497,,1296562666,,,1735927828,1206503268,,452062216,
World,OWID_WRL,1964,3264487340,,164451917,,1317979479,,,1782040416,1239592904,,469172200,
World,OWID_WRL,1965,3334533717,,169108161,,1338894058,,,1826515176,1268384936,,485583192,
World,OWID_WRL,1966,3404041107,,174013799,,1359285314,,,1870725008,1295130168,,501321120,
World,OWID_WRL,1967,3473412894,,179017542,,1379099986,,,1915277412,1319254600,,511678312,
World,OWID_WRL,1968,3545187239,,184229600,,1398152460,,,1962786172,1343769016,,515962920,
World,OWID_WRL,1969,3619491592,,189539722,,1417310770,,,2012621136,1369478312,,520507776,
World,OWID_WRL,1970,3694683801,,195016711,,1437190872,,,2062454968,1393771016,,526956400,
World,OWID_WRL,1971,3769847834,,200588292,,1459336606,,,2109900176,1417853552,,534032664,
World,OWID_WRL,1972,3844917687,,206390747,,1484884110,,,2153618424,1440422400,,541213960,
World,OWID_WRL,1973,3920805030,,212422892,,1512563538,,,2195792440,1462497824,,546365040,
World,OWID_WRL,1974,3996416108,,218717961,,1542270558,,,2235399592,1486019592,,548583600,
World,OWID_WRL,1975,4070735264,,225166613,,1574702706,,,2270835680,1508916512,,548458064,
World,OWID_WRL,1976,4144246391,,231559948,,1608826064,,,2303827704,1530800952,,547089112,
World,OWID_WRL,1977,4217863819,,238154900,,1645110360,,,2334563496,1547645704,,545866904,
World,OWID_WRL,1978,4292097508,,245024620,,1683215588,,,2363819640,1556720360,,545028776,
World,OWID_WRL,1979,4368539472,,252002993,,1722489600,,,2394006664,1565820904,,546646552,
World,OWID_WRL,1980,4447606208,,258253409,,1764580050,,,2424729928,1578266056,,551846088,
World,OWID_WRL,1981,4528777285,,263195672,,1808778556,,,2456757336,1592682840,,559671496,
World,OWID_WRL,1982,4612673436,,267593878,,1854986672,,,2490043408,1610230968,,570399848,
World,OWID_WRL,1983,4697327604,,272017870,,1901816808,,,2523439120,1626733184,,581810632,
World,OWID_WRL,1984,4782175500,,277170763,,1945941806,,,2559004464,1641254336,,591666648,
World,OWID_WRL,1985,4868943460,,283540500,,1988008110,,,2597331592,1656735296,,601095160,
World,OWID_WRL,1986,4958072822,,290665853,,2029712638,,,2637625464,1673777344,,610851352,
